/firmware/Core/Src/main.c:517: warning: main has 142 NLOC, 27 CCN, 852 token, 0 PARAM, 270 length, 0 ND
/firmware/Core/Src/main.c:1657: warning: MX_GPIO_Init has 58 NLOC, 1 CCN, 385 token, 0 PARAM, 90 length, 0 ND
/firmware/Core/Src/stm32g4xx_hal_msp.c:115: warning: HAL_ADC_MspInit has 126 NLOC, 17 CCN, 703 token, 1 PARAM, 199 length, 0 ND
/firmware/Core/Src/stm32g4xx_hal_msp.c:321: warning: HAL_ADC_MspDeInit has 38 NLOC, 9 CCN, 156 token, 1 PARAM, 103 length, 0 ND
/firmware/Core/Src/stm32g4xx_hal_msp.c:650: warning: HAL_SPI_MspInit has 55 NLOC, 4 CCN, 319 token, 1 PARAM, 90 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_calibration.c:56: warning: build_screen_content has 228 NLOC, 1 CCN, 1965 token, 1 PARAM, 252 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_calibration.c:513: warning: screen_calibration_update has 88 NLOC, 22 CCN, 660 token, 0 PARAM, 116 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_calibration.c:634: warning: screen_calibration_on_button has 62 NLOC, 21 CCN, 286 token, 1 PARAM, 81 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_dive_log.c:98: warning: dl_sample_cb has 20 NLOC, 3 CCN, 172 token, 9 PARAM, 20 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_main.c:87: warning: build_screen_content has 309 NLOC, 1 CCN, 2707 token, 1 PARAM, 342 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_main.c:519: warning: screen_main_update has 188 NLOC, 46 CCN, 1663 token, 0 PARAM, 275 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_menu.c:51: warning: build_screen_content has 68 NLOC, 1 CCN, 573 token, 1 PARAM, 78 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screens/screen_sensor_data.c:107: warning: screen_sensor_data_update has 65 NLOC, 11 CCN, 589 token, 0 PARAM, 83 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/dive_log.c:291: warning: dive_log_tick_1hz has 71 NLOC, 36 CCN, 675 token, 1 PARAM, 93 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/dive_log.c:401: warning: dive_log_iterate has 72 NLOC, 19 CCN, 578 token, 3 PARAM, 87 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/ext_flash_storage.c:535: warning: ext_cal_iterate has 58 NLOC, 16 CCN, 469 token, 3 PARAM, 73 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/ms5837.c:211: warning: ms5837_calculate has 38 NLOC, 3 CCN, 372 token, 4 PARAM, 81 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/screen_manager.c:94: warning: screen_manager_handle_button has 45 NLOC, 17 CCN, 201 token, 1 PARAM, 62 length, 0 ND
/firmware/STM32CubeIDE/Application/User/Core/sensor.c:182: warning: sensor_data_update has 78 NLOC, 23 CCN, 526 token, 2 PARAM, 117 length, 0 ND
